Velocity (rpm),Current (mA),Time (ms)
2976,4530,3241
2551,1576,3247
2551,31,3253
3247,31,3258
2646,2005,3264
2551,31,3270
3401,31,3276
3106,20,3282
3106,2427,3288
2976,353,3294
2747,-12,3300
2551,-23,3305
3571,2725,3309
3401,-12,3315
3247,-12,3321
3106,3437,3325
3571,418,3331
2857,20,3336
2747,1221,3342
3247,31,3348
3401,20,3353
3106,-12,3357
3106,2650,3362
2551,-517,3368
2646,1038,3372
2747,-12,3378
3106,-12,3383
3106,3222,3389
2646,-12,3395
2747,-12,3400
3247,676,3406
2976,2298,3412
2857,2051,3417
2646,1715,3422
3247,3467,3428
2551,3327,3433
3106,3459,3438
2747,2825,3443
3401,31,3448
2976,-2,3452
3401,4133,3456
3106,-12,3461
3247,374,3467
2646,-12,3473
2747,-12,3478
3106,3800,3482
2551,1653,3486
2551,1275,3491
3401,-12,3495
3106,20,3501
3247,9,3506
2551,1747,3512
2747,31,3518
3106,31,3523
3247,-12,3527
3106,1944,3533
2857,1492,3538
2857,-12,3542
2646,-23,3548
2551,-12,3553
3571,2363,3559
3106,3050,3565
2551,-23,3571
2646,-12,3577
2747,-12,3582
3247,2478,3587
3571,-474,3593
3401,20,3599
3106,9,3604
3247,-12,3608
2976,2964,3614
2857,364,3620
2646,-12,3626
2551,-12,3631
3571,869,3636
2747,-367,3642
3247,31,3647
3247,-12,3651
3571,2521,3656
2747,2059,3661
3247,2521,3667
2976,3660,3673
2747,2027,3679
3106,1103,3685
3247,20,3691
2976,20,3697
2976,1879,3703
3106,1986,3708
2463,20,3714
3401,31,3720
3106,3112,3724
2551,31,3728
3247,-12,3732
2976,3373,3738
2976,1425,3742
3106,2672,3748
3106,3177,3753
2646,20,3757
2976,1414,3763
3106,1898,3768
3106,1801,3774
2976,3434,3780
2976,3692,3785
3247,-12,3791
3106,823,3797
3247,2854,3803
2747,4122,3809
2551,1919,3815
3401,20,3821
3106,31,3827
3247,1062,3833
3106,3459,3839
2747,-2,3845
3106,998,3850
2551,2306,3854
3401,-12,3860
2747,1696,3864
2747,-12,3868
2551,20,3873
2976,665,3879
2976,2717,3885
2747,3996,3891
2646,-12,3897
3247,-12,3903
3106,-12,3909
3247,1758,3915
2976,2349,3921
3106,3542,3927
2551,1962,3933
3401,31,3939
3247,20,3945
3247,31,3951
3401,3144,3955
2551,1084,3959
3247,-420,3965
3106,1199,3970
3247,1952,3975
2646,418,3980
2976,1922,3985
2551,1178,3991
3401,20,3997
3106,901,4003
3106,1858,4008
3247,-485,4014
2646,20,4020
3247,31,4026
3106,171,4032
3106,2545,4038
2857,4017,4044
2646,-12,4050
2551,-2,4056
3401,-2,4061
2976,2575,4065
3247,2381,4071
3247,2725,4076
2646,20,4080
2857,1414,4086
2646,1285,4092
3571,-12,4096
2976,31,4100
2976,2435,4106
2646,-12,4110
3247,2760,4115
2646,31,4121
2646,1103,4125
2646,-12,4131
3247,-2,4137
3247,1092,4143
2976,2317,4149
3247,3628,4155
2646,2457,4161
2747,31,4167
2551,1318,4172
2857,3682,4178
2646,4208,4183
2747,439,4187
3247,-2,4192
3401,2457,4198
2976,4004,4204
2747,2897,4210
2551,2360,4215
3571,3125,4219
2646,71,4223
2747,-2,4229
2551,2309,4234
2976,3566,4240
2747,3802,4245
3106,31,4251
3247,418,4257
2976,2588,4263
2976,3867,4269
2551,-23,4275
2551,-12,4280
3401,3563,4285
2646,2102,4291
2551,2951,4296
3401,-12,4301
2747,-2,4307
3106,-12,4313
3247,-12,4319
2976,1866,4325
2976,3434,4331
2976,4122,4337
2646,4079,4342
3247,2201,4346
2747,1919,4351
3247,3359,4357
2976,-12,4361
2857,1661,4365
3106,-12,4370
3106,31,4375
3401,31,4381
2976,20,4386
2976,-2,4390
3247,3620,4396
2551,-12,4402
2747,-12,4407
3106,1116,4413
3247,2126,4418
3571,20,4424
3106,31,4430
3247,1095,4436
2976,3061,4442
2747,-12,4448
2646,-12,4453
3247,1084,4459
3106,2685,4465
2976,3587,4470
2551,3166,4475
3247,3950,4481
2747,1103,4487
2747,31,4493
3247,20,4498
2976,-23,4502
2976,2352,4508
3106,2223,4513
2646,1060,4517
2646,-12,4523
2747,-2,4529
2976,-12,4535
3401,2113,4541
2857,-12,4546
3247,-12,4552
3106,-12,4558
3401,-2,4564
3106,1511,4570
3106,-2,4575
2551,-2,4581
3401,-12,4586
2857,3230,4590
3106,2975,4594
3247,31,4600
3571,31,4605
2976,-12,4609
3106,2373,4615
3106,3993,4619
3571,2932,4623
2646,2779,4627
2747,-2,4633
2551,-2,4639
3401,-25,4645
2976,2124,4651
3106,3553,4657
2747,1285,4663
2747,-12,4667
2976,-12,4673
2551,-12,4678
3571,1439,4683
2747,-2,4687
2976,3996,4693
2857,-12,4699
2646,-12,4705
3247,-12,4710
3106,4477,4714
3106,2588,4718
3401,20,4723
3401,-12,4727
2747,4208,4731
2646,-12,4737
3401,-2,4743
2976,1844,4749
3106,3810,4755
3247,-12,4
3401,1995,8
2747,1879,12
2747,-12,16
3247,1060,20
3247,-12,24
3571,3316,28
3401,-12,33
3106,-12,39
2551,20,43
2646,1758,48
3401,3566,52
3247,2083,58
3247,1008,63
3571,856,67
2857,383,73
3401,4434,79
2747,20,85
3571,3437,91
2976,-12,96
3401,4369,100
3759,-12,104
3759,3682,108
3401,-12,112
3401,1414,116
3571,-12,120
3247,31,125
3401,-12,130
2857,4272,134
3571,3467,140
3759,1213,146
3106,31,151
3571,-12,156
3968,1876,160
3571,31,166
3571,-12,172
2976,3136,176
3247,-2,182
3571,3273,187
3968,2972,192
3401,1522,198
3759,1073,203
3968,-12,208
3571,-12,213
3571,-12,218
3759,31,222
3247,3230,227
4202,-23,232
3759,31,237
3968,-12,242
3106,-12,247
3759,3230,253
3106,3265,258
4202,-2,264
3968,-12,268
3247,705,274
